headline,text
Sam Altman’s eyeball-scanning crypto project has a new Orb and a new name,"World, the new name for the Worldcoin cryptocurrency project, has launched a redesigned iris-scanning Orb."
"Why the Grammys need to change, with CEO Harvey Mason Jr.","The Recording Academy is facing massive change in the post-covid generative AI era, starting with its membership."
"What does Trump’s election mean for EVs, Tesla, and Elon Musk?","After winning the election, Donald Trump is going to try to roll back Joe Biden’s EV policies, including tax credits, emissions standards, and more."
US immigration policy has a huge blind spot: climate change,"Storms, flooding, and drought displace millions of people, but the US still lacks legal protections for climate migrants."
The pragmatist’s guide to the 2024 presidential election,"Donald Trump or Kamala Harris will have a direct impact on key issues like broadband access, climate change, and electric vehicles in the years to come. Here are their positions."
Can the US triple its nuclear energy capacity?,"The Biden administration put out a roadmap to triple US nuclear energy capacity, and Donald Trump has shown support for nuclear energy."
Will Trump victory spark global trade war?,"Trump has promised tariffs on all foreign goods. If he follows through, many smaller economies may be forced to respond in kind."
Google accused of violating labor law for asking workers to ‘refrain’ from talking about antitrust case,"The Alphabet Workers Union filed a charge with the National Labor Relations Board, accusing Google of violating employees’ rights to talk about labor conditions."
Tech critics want a Google exec punished for deleted chats,Advocacy groups urged the California Bar to probe Google’s Kent Walker over his role in the firm’s practices for retaining evidence that could be used against it.
IMF deputy head warns world to avoid global trade war,Economic fears have been rising over Donald Trump's mega-tariff plan and rising US debts.
Another Trump presidency is literally toxic — his opponents are gearing up for battle,The election of Donald Trump ushers in another era of environmental rollbacks. Health and climate advocates are gearing up for the fight.
Starbucks drops olive oil coffee as new boss shakes up menu,The announcement comes less than a week after the company reported falling global sales.
"UK growth 'set to accelerate' to 1.5% next year, says IMF",The global financial institution predicts stronger UK growth of 1.1% this year and 1.5% next year.
Nissan to lay off thousands of workers as sales drop,The Japanese car making giant has not yet said where in its global operations the job cuts will be made.
Max is getting ready for its own password-sharing crackdown,"Max is planning a password-sharing crackdown of its own, following the likes of Netflix and Disney Plus, as the company will start showing “very soft messaging” about the change later this quarter."
Arkansas has enough lithium for the world’s EVs — but getting to it is the problem,"A massive amount of lithium lies underneath Arkansas, according to a new study. ExxonMobil is already drilling for it."
Waymo just raised $5.6 billion to spread robotaxis to more cities,Waymo raised $5.6 billion in a series C round that was its largest to date. The company will use the money to brings its robotaxis to more cities.
Snoop Dogg’s Times Square concert showed the ambitious future of music in Fortnite,"At a concert held in Times Square in New York City, Snoop Dogg kicked off a new, ambitious era for music in Fortnite, which starts with Chapter 2 Remix."
"Homebase collapses with 2,000 jobs at risk","Homebase enters administration, but The Range buys up to 70 stores and the brand."
Stock markets and dollar rise as US election result in focus,Investors are also focused on a US central bank rate decision and a key announcement on the Chinese economy.
Chromakopia: Tyler the Creator lands first UK number one album,The rapper hit the top spot despite his album only being available for four of the last seven days.
How Trump pulled off an incredible comeback,Millions of Americans voted to give him a second chance - our North America editor Sarah Smith looks at why.
"Simon Cowell pays tribute to 'kind, funny, talented' Liam Payne","The X Factor supremo describes the late One Direction singer as ""thoughtful, talented, humble""."
Zayn Malik postpones US tour after 'heartbreaking' loss of Liam Payne,The former One Direction singer was due to start a run of US shows in San Francisco next week.
Elon Musk’s ‘top 20’ Diablo IV claim is as real as his self-driving cars,"During an interview on The Joe Rogan Experience, Musk claimed he’s in the top 20 of Diablo 4 players in the world but the truth is a bit more complicated."
Cheap fix floated for contrail plane vapour's climate impact,The warming impact of the vapour trails that emerge from airplanes is being discussed at climate gathering.
Bank of England boss to say UK must 'rebuild relations' after Brexit,Governor Andrew Bailey will deliver his strongest comments yet on the UK's departure from the EU.
Comedian Conan O'Brien to host 2025 Academy Awards,"O'Brien will take over the Academy Awards hosting duties from comedian Jimmy Kimmel, who had the gig for the last two years."
New Starbucks boss plans 'fundamental change' and simpler menu,Starbucks also said it will suspend its annual financial forecasts as its profits decline.
McDonald's Quarter Pounder back after E. coli outbreak,The fast food giant said beef patty samples had tested negative for the bacteria.
Video game history falls into place in Tetris Forever,"Retro game studio Digital Eclipse has released a new collection called Tetris Forever, which launches on November 12th on the Nintendo Switch, Xbox, PlayStation, and PC."
Keir Starmer announces extra £75m to tackle people smuggling,"Sir Keir Starmer wants to reset the UK's approach to border security, after ditching the Rwanda plan."
How Trump’s second term could be bad for EVs — but great for Tesla,Elon Musk and Donald Trump disagree about climate change. Now what?
Amnesty International gives EV makers low marks for human rights policies,"EV makers need to be more transparent about their battery supply chains, according to an Amnesty International report that ranks companies based on their human rights policies."
'Infinite monkey theorem' challenged by Australian mathematicians,"Australian researchers have poked holes in an old thought-experiment known as the ""infinite monkey theorem""."
Pro-Harris TikTok felt safe in an algorithmic bubble — until election day,"For weeks, Kamala Harris supporters on TikTok got an endless stream of content signaling her victory. The filter bubble has now popped."
Not even Spotify is safe from AI slop,"Artists such as Standards, Health, Annie, and Swans have had AI-generated albums that aren’t theirs showing up on their Spotify pages. Why?"
